hierid,ISO,diff,d_h,d_l,gdp,pop,gdppc,wage,diff_dis,h_dis,l_dis,diff_dis_p,h_dis_p,l_dis_p,pop_w,diff_dis_p_pw
ABW,ABW,-574.121172213976,-600.642411125913,-26.521238911937,192741020,107244,1797.2196,0.011981464,13.7576243130391,14.3931508515566,0.635526538517544,0.765494896285301,0.800856548167884,0.0353616518825826,1.54894609396598e-05,1.18571032955201e-05
AFG.1.12,AFG,-6515.1301617304,-6979.92767397203,-464.797512241629,24899318,17932.482,1388.5037,0.00925669133333333,120.617097807257,129.222072013901,8.60497420664395,8.68684021564053,9.3065702319627,0.619730016322171,2.59002349306398e-06,2.24991202390019e-05
AFG.1.R8abddb145b8788ee,AFG,-4169.2082283084,-4480.65067292959,-311.442444621189,543406800,391355.56,1388.5245,0.00925683,77.187303608104,82.9532431373896,5.76593952928553,5.5589443044112,5.97420089723945,0.415256592828252,5.65242499360216e-05,0.000314215157242962
AFG.1.R91a8634efe8e02a7,AFG,-5085.03336925092,-5445.6736872067,-360.640317955782,175789140,126602.09,1388.5168,0.00925677866666667,94.1420568235401,100.818792026726,6.67673520318594,6.78004449233456,7.26089824960894,0.480853757274376,1.82853877879816e-05,0.000123975742762106
AFG.1.Ra6a2bba0a271cb4a,AFG,-3668.04659529685,-3941.71441788156,-273.667822584714,653380400,470324.78,1389.211,0.00926140666666667,67.9425423826524,73.0116403757289,5.06909799307643,4.89072879372913,5.25561922384209,0.364890430112951,6.79299290287952e-05,0.000332226859857105
AFG.1.Rcf29900a4c191e96,AFG,-6334.26006345479,-6785.69173865155,-451.431675196757,21986844,15834.921,1388.5035,0.00925669,117.268563573563,125.626089720517,8.35752614695413,8.44568008460639,9.04758898486873,0.601908900262342,2.28706865010723e-06,1.93158501503382e-05
AFG.1.Rd0d6327d56611fba,AFG,-5514.37628374613,-5905.28496335291,-390.908679606781,81688880,58811.062,1389.0054,0.009260036,102.126645810071,109.366302701813,7.23965689174251,7.3525017116615,7.87371328447055,0.521211572809041,8.49419685641074e-06,6.24535969259497e-05
AFG.10.103,AFG,-4746.5067487665,-5666.73665431562,-920.229905549126,138163890,98998.25,1395.6195,0.00930413,88.3242316728017,105.448109015035,17.1238773422336,6.328675665022,7.55564887242083,1.22697320739884,1.42985111192205e-05,9.0490639366257e-05
AFG.10.106,AFG,-4798.71191743041,-5735.54696274519,-936.835045314784,197453700,141872.72,1391.7665,0.00927844333333333,89.0491531977388,106.433894959007,17.384741761268,6.39828255657388,7.64739595032693,1.24911339375305,2.04909547838881e-05,0.000131106918561296
AFG.10.109,AFG,-3714.11562207261,-4349.47149419466,-635.355872122054,27817502,19818.56,1403.6086,0.00935739066666667,69.5088617138061,81.3994079294196,11.8905462156135,4.95215416276347,5.79929532559288,0.847141162829406,2.86243343217621e-06,1.41752116367847e-05
